"appTitle","userName","date","score","text""Power Battery - Battery Life Saver & Health Test","Abdullahi Lawal","May 15, 2019",5,"It really works on my device,keep it up."
"Power Battery - Battery Life Saver & Health Test","Maxima Tallido","May 15, 2019",1,"stupid"
"Power Battery - Battery Life Saver & Health Test","Ssemwogerere Brian","May 15, 2019",5,"good"
"Power Battery - Battery Life Saver & Health Test","Durjyadhan Singh","May 15, 2019",5,"good luck 8ŕď"
"Power Battery - Battery Life Saver & Health Test","Golam Rabbany","May 15, 2019",5,"good apps"
"Power Battery - Battery Life Saver & Health Test","Adam Booysen","May 15, 2019",5,"good"
"Power Battery - Battery Life Saver & Health Test","Dagg20 RULES!","May 15, 2019",3,"THIS STUPID APP CONSTANTLY POPS UP AND CAUSES ADS."
"Power Battery - Battery Life Saver & Health Test","Dawn Peterson","May 15, 2019",5,"good Battery."
"Power Battery - Battery Life Saver & Health Test","James Thomas","May 15, 2019",5,"okitisgood"
"Power Battery - Battery Life Saver & Health Test","Louise Hensley","May 15, 2019",5,"its a great app and free"
"Power Battery - Battery Life Saver & Health Test","motiram Meshram","May 15, 2019",5,"awesome app maintenance the background running protection 4 battery consumption appreciated"
"Power Battery - Battery Life Saver & Health Test","Soph Xox","May 14, 2019",5,"This app is a very good app my phone used to die really quickly but since I got this app it lasts thank you very much and keep up ur gd work. I've tried loads but this is the first one I've seen with nearly all 5 ☆☆☆☆☆thank u again"
"Power Battery - Battery Life Saver & Health Test","Nkosana Masina","May 14, 2019",5,"its great"
"Power Battery - Battery Life Saver & Health Test","Aishah Kizito","May 14, 2019",3,"It's ok, but stuff keep on popping up every time I unlock my phone. It also does this battery charge thing that I don't know how to turn off. So every time my alarm goes off it takes me 1 min just to turn it off"
"Power Battery - Battery Life Saver & Health Test","Mohd Amirul Hakimie 200","May 14, 2019",5,"Very good..thankss"
"Power Battery - Battery Life Saver & Health Test","Ravishka Lks","May 14, 2019",5,"Good app i love it ❤"
"Power Battery - Battery Life Saver & Health Test","Ashley Rios","May 14, 2019",1,"This app is stupid it doesn't work at all an it has ads too. It pops up out of no where I could be doing something on my phone an it just pops up. This app was not useful at all."
"Power Battery - Battery Life Saver & Health Test","SirMeowsALot Andmore","May 14, 2019",1,"this did help with my battery sinse mine runs out sooo fast buut the ads i already got rid of popup ads on my phone know i cant do that anymore for dis app other than that it was a very good app"
"Power Battery - Battery Life Saver & Health Test","Jessica Vanhartingsveldt","May 14, 2019",5,"Ok :): ):):):):):|☆☆☆☆☆"
"Power Battery - Battery Life Saver & Health Test","justin kayce","May 14, 2019",5,"it grate"
"Power Battery - Battery Life Saver & Health Test","Lilliana Mearon","May 14, 2019",1,"it doesent do anything"
"Power Battery - Battery Life Saver & Health Test","Douglas Jacobsen","May 14, 2019",5,"awesome"
"Power Battery - Battery Life Saver & Health Test","Chris Selby","May 14, 2019",5,"garbage"
"Power Battery - Battery Life Saver & Health Test","Sophia McGee","May 14, 2019",5,"its good and the adds are toloratable and it locks my phone perfection"
"Power Battery - Battery Life Saver & Health Test","Carolyn Markham","May 14, 2019",5,"I Honestly Love best amp it makes me happy thank you guys"
"Power Battery - Battery Life Saver & Health Test","Nancy Jones","May 14, 2019",5,"RASHID"
"Power Battery - Battery Life Saver & Health Test","Srinu Reddy","May 14, 2019",5,"good,its working"
"Power Battery - Battery Life Saver & Health Test","Phyllis Young","May 14, 2019",5,"GREAT APP"
"Power Battery - Battery Life Saver & Health Test","Md Shaibaz","May 14, 2019",1,"I don't like it"
"Power Battery - Battery Life Saver & Health Test","Thomas Napolitano","May 14, 2019",5,"This App does a fine job in conserving battery power."
"Power Battery - Battery Life Saver & Health Test","Simon Ahmad","May 14, 2019",5,"good"
"Power Battery - Battery Life Saver & Health Test","Justice Nantouyi","May 14, 2019",5,"great"
"Power Battery - Battery Life Saver & Health Test","GachaTuber Violet","May 13, 2019",1,"DOES NOT WORK I'm so angery this is something to help but all it did was make things worse would NOT recommen"
"Power Battery - Battery Life Saver & Health Test","x x","May 13, 2019",4,"ok fast"
"Power Battery - Battery Life Saver & Health Test","Sky High","May 13, 2019",5,"owesome...."
"Power Battery - Battery Life Saver & Health Test","Castuera Ramil","May 13, 2019",5,"ok"
"Power Battery - Battery Life Saver & Health Test","Robert E","May 13, 2019",1,"too many ads. removal is a subscription. wants access to typed information."
"Power Battery - Battery Life Saver & Health Test","adi DX DUDE","May 13, 2019",5,"great app for battery"
"Power Battery - Battery Life Saver & Health Test","sakuni navodya","May 13, 2019",5,"😘😘😘😘😘"
"Power Battery - Battery Life Saver & Health Test","Albert Depano","May 13, 2019",1,"Draining more"
"Power Battery - Battery Life Saver & Health Test","Jaiden Blair","May 13, 2019",4,"great but too many ads"
"Power Battery - Battery Life Saver & Health Test","Victor Awogu","May 13, 2019",5,"I recommend this app to one & all.You will be glad you have it in your phone .Excellent job."
"Power Battery - Battery Life Saver & Health Test","Claire Peacock","May 13, 2019",5,"it's really good"
"Power Battery - Battery Life Saver & Health Test","Mikael Cantos","May 13, 2019",5,"fast"
"Power Battery - Battery Life Saver & Health Test","Tia Martin","May 13, 2019",5,"it tells u how long u need to let it charge"
"Power Battery - Battery Life Saver & Health Test","gauva fan","May 13, 2019",5,"its the best"
"Power Battery - Battery Life Saver & Health Test","alwyn Dsouza","May 13, 2019",5,"very good for optimize and fast charge the battery"
"Power Battery - Battery Life Saver & Health Test","surendra kumar","May 13, 2019",5,"nice"
"Power Battery - Battery Life Saver & Health Test","William Keddington","May 13, 2019",2,"too invasive. Your app takes over the screen and shows ads all of the time, and that's understandable as I'm aware that is how you make a living. My only problem with that is that I want to see my screensaver, not your ads 24/7..."
"Power Battery - Battery Life Saver & Health Test","faithsqaudfor life","May 12, 2019",5,"it help me save up space i love it"
"Power Battery - Battery Life Saver & Health Test","never nether","May 12, 2019",1,"It literally blocked me out of my phone. You have to let your phone die to get back in."
"Power Battery - Battery Life Saver & Health Test","Francis Kitavi","May 12, 2019",4,"atleast"
"Power Battery - Battery Life Saver & Health Test","Parthiban Parthiban","May 12, 2019",5,"super app"
"Power Battery - Battery Life Saver & Health Test","Nardhoj Chhetri","May 12, 2019",5,"very nice app"
