"appTitle","appId","appGenre","userName","date","score","reviewTitle","text","replyDate","replyText"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","adrian tame","June 19, 2019",5,"excellent","64b3d57079ec0eeaaeacb0b0435ece7a","5d0aa2d42ed3c17d380956d7"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","ahmed younes","June 19, 2019",1,"So they promised me 10$ promotion when I install the app .. once I installed, the promotion is not working. Talking to the customer service (after a lot of pain with the AI thing in the chat), they were not able to handle it. So I'm deleting the order, deleting the app, giving it 1 star (& less if it was possible), and will consider any other online merchant before Amazon from now on! so cheap!!","c2d8bf8f1f6764ed2a920c65301709ab","5d0aa2d42ed3c17d380956d8"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Jack Daniel Whiskey","June 19, 2019",5,"good","31e1538e8cb2666ef2dab09d9b13e8eb","5d0aa2d42ed3c17d380956d9"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Naveed Anwar","June 19, 2019",5,"Gud i like it mum","87c956e088f1e22c25d16a4af4f8097c","5d0aa2d42ed3c17d380956da"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Gordon Dinnie","June 19, 2019",1,"constantly flicks back to homepage when I am searching or viewing search results making the app 100% unusable","a2aff091c040b04448c4f22a752817cf","5d0aa2d42ed3c17d380956db"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Shahmir Khan","June 19, 2019",5,"Best","d72bf53975cbd35e1746c82e12a64f20","5d0aa2d42ed3c17d380956dc"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","John Kaiser","June 19, 2019",3,"Most of the time you get the ""oops something went wrong response"" especially when trying to use when printing ups label for return at ups store","f299d50e90bb6975430e2a8d3f560a79","5d0aa2d42ed3c17d380956dd"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Samantha Garner","June 19, 2019",1,"getting more and more irritated with Amazon. Last order was messed up. I cant give a review on there because I only use gifts cards. Now i cant even check out on an order for $25.31 even though I have $25.63 on my account. Shipping shouldn't be an issue because I chose free shipping. Hopefully I can figure it out, because i really need what im ordering, but after that I'm taking my business elsewhere.","060096d89b960616f8cfb96155e34203","5d0aa2d42ed3c17d380956de"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Spencer Hewlett","June 19, 2019",5,"awesome! quick reliable delivery!","6933fa1fc25ded312ba1133148cceed8","5d0aa2d42ed3c17d380956df"
"Amazon Shopping","com.amazon.mShop.android.shopping","SHOPPING","_by_worst_battery","Iona Pelton","June 19, 2019",2,"The app itself works but the UI is terrible. It feels like I am using a mobile site; very laggy and slow. Amazon should take notes from their Alexa app, which works wonderfully, has beautiful and clean animations, and just overall looks great.","9ee535b5c8e7c5a67fbe7240fe3b10e5","5d0aa2d42ed3c17d380956e0"
